player_id,from_id,to_id,date
45146,46,281,2010-08-12
45146,123,46,2007-07-01
121387,40058,123,2018-01-12
121387,123,40058,2015-12-01
121387,40058,123,2015-05-13
121387,281,40058,2015-03-31
121387,123,281,2014-12-31
121387,281,123,2014-01-20
121387,123,281,2013-04-28
121387,281,123,2013-03-07
121387,123,281,2011-07-01
121410,873,123,2013-05-31
121410,123,873,2013-01-10
47659,703,123,2020-09-04
47659,123,703,2020-06-30
47659,703,123,2020-01-30
47659,1010,703,2018-07-03
47659,703,1010,2018-05-31
47659,1010,703,2018-01-31
47659,123,1010,2018-01-30
47659,1010,123,2017-09-01
47659,123,1010,2016-01-19
47659,281,123,2014-07-01
47659,123,281,2012-01-31
47659,281,123,2012-01-30
47659,123,281,2011-08-11
81808,467,123,2022-07-01
81808,123,467,2022-01-26
81808,8023,123,2020-11-01
81808,123,8023,2020-01-29
81808,281,123,2017-08-31
81808,123,281,2017-05-31
81808,281,123,2016-08-31
81808,123,281,2015-01-14
81808,499,123,2013-07-11
81808,123,499,2011-01-31
121404,141,123,2022-09-01
121404,123,141,2020-08-17
121404,234,123,2013-01-14
121404,123,234,2012-07-21
229695,2969,123,2024-01-08
229695,123,2969,2023-12-31
229695,2969,123,2023-08-31
229695,123,2969,2023-06-30
229695,2969,123,2023-01-26
229695,10484,2969,2023-01-23
229695,2969,10484,2022-08-02
229695,123,2969,2022-06-30
229695,2969,123,2021-08-31
229695,123,2969,2020-09-09
229695,281,123,2018-07-31
229695,123,281,2018-05-31
229695,281,123,2017-07-03
229695,317,281,2017-06-30
229695,281,317,2016-08-25
229695,123,281,2016-07-01
13091,281,123,2018-09-02
13091,131,281,2010-07-02
13091,162,131,2007-07-01
13091,123,162,2006-08-15
58579,1148,123,2014-07-01
58579,123,1148,2014-06-30
58579,1148,123,2014-01-30
58579,281,1148,2011-07-01
58579,123,281,2010-05-31
58579,281,123,2009-07-24
58579,123,281,2008-04-23
58579,281,123,2008-02-22
58579,123,281,2007-12-10
58579,281,123,2007-11-10
58579,123,281,2007-11-09
58579,281,123,2007-10-11
58579,123,281,2007-07-01
26764,4078,123,2020-01-01
26764,4171,4078,2018-08-08
26764,123,4171,2018-02-03
26764,281,123,2017-07-01
26764,11,281,2014-07-01
26764,290,11,2007-07-12
26764,123,290,2004-07-01
90681,123,1465,2023-08-07
90681,618,123,2022-07-01
90681,123,618,2022-01-20
90681,1049,123,2021-07-01
90681,281,1049,2019-08-12
90681,29,281,2018-05-31
90681,281,29,2018-01-31
90681,1049,281,2017-06-30
90681,281,1049,2016-08-31
90681,720,281,2014-08-11
90681,3057,720,2011-08-16
90681,123,3057,2009-01-01
177321,379,123,2014-04-11
177321,123,379,2014-01-30
177321,281,123,2014-01-01
177321,123,281,2013-12-31
177321,281,123,2013-09-02
177321,123,281,2012-10-29
177321,281,123,2012-09-29
177321,1237,281,2012-06-30
177321,281,1237,2012-02-17
177321,123,281,2011-11-24
177321,281,123,2011-10-28
177321,123,281,2011-07-01
3183,281,123,2011-07-14
3183,46,281,2010-01-07
3183,506,46,2006-08-02
3183,11,506,2005-07-15
3183,5,11,1996-08-14
3183,123,5,1995-11-07
34156,199,123,2022-08-09
34156,123,199,2020-07-01
34156,199,123,2018-01-06
34156,123,199,2017-01-01
34156,330,123,2015-07-01
34156,6600,330,2012-05-20
34156,281,6600,2011-07-20
34156,141,281,2010-06-30
34156,281,141,2010-01-21
34156,29,281,2010-01-20
34156,281,29,2009-02-02
34156,123,281,2008-07-31
34156,199,123,2006-01-01
34156,123,199,2003-01-01
61632,281,123,2013-07-01
61632,123,281,2013-05-31
61632,281,123,2012-08-31
61632,123,281,2012-05-01
61632,281,123,2011-09-01
61632,873,281,2011-08-01
61632,281,873,2011-07-01
61632,123,281,2011-05-01
61632,281,123,2010-08-01
61632,1003,281,2010-05-01
61632,281,1003,2009-08-01
61632,123,281,2008-12-01
61632,281,123,2008-10-01
61632,123,281,2008-07-01
251876,79,237,2022-07-01
251876,237,79,2022-06-30
251876,79,237,2021-07-07
251876,5358,79,2021-06-30
251876,79,5358,2020-09-08
251876,12321,79,2020-08-24
251876,79,12321,2019-07-01
251876,281,79,2018-07-01
251876,12321,281,2018-06-30
251876,281,12321,2017-07-31
251876,12321,281,2017-06-30
251876,281,12321,2017-01-01
251876,123,281,2016-07-01
251876,12321,123,2016-06-30
251876,123,12321,2016-01-13
277114,123,27221,2023-07-23
277114,1041,123,2022-09-28
277114,281,1041,2018-08-21
277114,141,281,2018-06-30
277114,281,141,2017-08-31
277114,123,281,2017-05-31
277114,281,123,2016-08-31
277114,141,281,2016-06-30
277114,281,141,2015-08-31
277114,123,281,2015-06-30
277114,281,123,2014-08-12
277114,123,281,2014-07-01
182579,368,123,2023-07-30
182579,44,368,2020-10-05
182579,244,44,2017-07-01
182579,281,244,2015-07-01
182579,383,281,2015-06-30
182579,281,383,2013-07-10
182579,123,281,2013-05-05
182579,281,123,2013-02-15
182579,123,281,2012-04-29
182579,281,123,2012-03-22
182579,123,281,2012-01-01
3120,281,123,2016-07-01
3120,123,281,2012-08-31
3120,350,123,2011-04-01
3120,123,350,2010-09-01
3120,379,123,2008-07-01
3120,180,379,2008-05-01
3120,379,180,2008-03-01
3120,29,379,2007-07-01
3120,11,29,2002-07-01
3120,123,11,2001-07-01
5896,430,123,2015-07-21
5896,12,430,2012-08-09
5896,281,12,2012-06-30
5896,12,281,2012-01-31
5896,46,12,2006-08-19
5896,410,46,2005-07-14
5896,123,410,2001-06-30
5896,410,123,2001-02-02
5896,123,410,1999-07-01
18935,58,123,2020-07-01
18935,379,58,2019-07-05
18935,123,379,2019-01-01
18935,589,123,2018-01-31
18935,281,589,2017-08-21
18935,368,281,2017-06-30
18935,281,368,2016-08-31
18935,11,281,2011-08-24
18935,244,11,2008-07-11
18935,123,244,2004-07-01
18301,7178,123,2019-12-31
18301,123,7178,2019-01-01
18301,12,123,2016-07-01
18301,281,12,2013-07-18
18301,46,281,2012-08-31
18301,162,46,2006-07-12
18301,609,162,2004-07-01
18301,123,609,2001-01-01
31552,405,123,2016-08-07
31552,281,405,2015-07-01
31552,405,281,2015-06-30
31552,281,405,2015-01-30
31552,984,281,2014-05-31
31552,281,984,2013-08-22
31552,123,281,2012-08-31
